mechanism,het,info,concentration,n,outcome_from,coef_spread,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MCAR,0.0,0.0,0.9,1000,pattern,1.0451708942760263e-16,0.1224375,12,0.943,2.973572115717008,0.106,0.694270940452424,0.6925492985420045,0.6927984248692576,0.6905074868712144,0.6908951761138864,0.70205862544791,0.0003876892426721623,0.025596805385948558,6,25,1000000000.0
MCAR,0.0,0.0,0.9,4000,pattern,1.441988889405721e-16,0.15184375,12,0.982,2.867321830264796,0.09725,0.8531354768613771,0.8527321322800606,0.852663749253397,0.8536023873886011,0.853602387388601,0.8570201163733455,-1.4654943925052067e-16,1.0,1,25,1000000000.0
MCAR,0.0,0.0,0.5,1000,pattern,5.405289930926482e-16,0.1178125,57,0.702,14.345958887345661,0.104,0.7476580252149168,0.743650937432605,0.7477098675997947,0.7434828367556559,0.7442597642719201,0.7621500899545919,0.0007769275162643919,0.7150006546880893,2,25,1000000000.0
MCAR,0.0,0.0,0.5,4000,pattern,3.86843335142828e-16,0.11584375,60,0.8565,13.95740703241044,0.09825,0.5100380454169876,0.5038203155516867,0.5095492248543915,0.5029081318722796,0.5029081318722796,0.5069624373197414,0.0,1.0,0,25,1000000000.0
MCAR,0.0,0.0,0.1,1000,pattern,2.2603446891977796e-15,0.1161875,197,0.0,150.21272667168074,0.108,0.6828892677026611,0.6807227910034815,0.684373614826839,0.6819667965139301,0.6819667965139301,0.6979656318484954,1.5543122344752193e-17,1.0,6,25,1000000000.0
MCAR,0.0,0.0,0.1,4000,pattern,3.884045862712071e-15,0.11921875,215,0.3665,161.16511830275894,0.1,0.5986092087648922,0.5984708709418423,0.5985317918747041,0.5980749115455053,0.6030868545166657,0.6187429872863224,0.005011942971160379,0.03665792867221451,9,25,1000000000.0
MCAR,0.0,1.5,0.9,1000,pattern,1.0451708942760263e-16,0.1224375,12,0.943,2.973572115717008,0.104,0.6691175772784717,0.6787821036679584,0.6680926357697059,0.6744025775215146,0.6744025775215146,0.6877576689449476,3.552713678800501e-17,1.0,5,25,1000000000.0
MCAR,0.0,1.5,0.9,4000,pattern,1.441988889405721e-16,0.15184375,12,0.982,2.867321830264796,0.09525,0.7924515759562345,0.8565867312739508,0.7930671368107405,0.8560794788580713,0.8560794788580713,0.8582206050381211,1.0658141036401502e-16,1.0,15,25,1000000000.0
MCAR,0.0,1.5,0.5,1000,pattern,5.405289930926482e-16,0.1178125,57,0.702,14.345958887345661,0.105,0.7065751089256379,0.7577354179533643,0.7045336416856691,0.7598137176053362,0.7600952893409765,0.7703190201301153,0.0002815717356401448,0.31731050786291415,1,25,1000000000.0
MCAR,0.0,1.5,0.5,4000,pattern,3.86843335142828e-16,0.11584375,60,0.8565,13.95740703241044,0.101,0.45503009678665896,0.4941814978143722,0.45610394972667573,0.4931125234386768,0.49456286538606803,0.5050967378586,0.001450341947391236,0.5001842570707944,3,25,1000000000.0
MCAR,0.0,1.5,0.1,1000,pattern,2.2603446891977796e-15,0.1161875,197,0.0,150.21272667168074,0.104,0.6422555819378362,0.649369710149475,0.6422632194389692,0.647551766786847,0.6476534041276432,0.6702410255039392,0.00010163734079606357,0.08446903225325182,6,25,1000000000.0
MCAR,0.0,1.5,0.1,4000,pattern,3.884045862712071e-15,0.11921875,215,0.3665,161.16511830275894,0.0955,0.5234839372658898,0.5213931300827193,0.523281869350992,0.5211369374485506,0.5252482354350165,0.5433289662403744,0.004111297986465905,0.009925485845323257,9,25,1000000000.0
MCAR,0.5,0.0,0.9,1000,pattern,0.44199037024705773,0.1224375,12,0.943,2.973572115717008,0.108,0.7561654479397949,0.7989790201641104,0.7545442201197012,0.796682018388537,0.7966699513944877,0.799235995439945,-1.2066994049293455e-05,0.252737478544408,3,25,1000000000.0
MCAR,0.5,0.0,0.9,4000,pattern,0.4370174505187311,0.15184375,12,0.982,2.867321830264796,0.097,0.828222789600687,0.8291065323823248,0.8281367668695822,0.8295843177000113,0.8314020039304377,0.8419814044414218,0.0018176862304265119,0.6778423051722009,7,25,1000000000.0
MCAR,0.5,0.0,0.5,1000,pattern,0.48231983865115335,0.1178125,57,0.702,14.345958887345661,0.104,0.5975571827347903,0.5499590792883119,0.5949215270983348,0.5522447797464922,0.5536833583009187,0.5942509364977258,0.0014385785544265195,0.10880943004054568,3,25,1000000000.0
MCAR,0.5,0.0,0.5,4000,pattern,0.49149355195770855,0.11584375,60,0.8565,13.95740703241044,0.097,0.5587100783662513,0.6359339735131327,0.5604951311180136,0.6401731145538473,0.6400486796103606,0.6423619268969124,-0.00012443494348678196,0.17971249487899976,0,25,1000000000.0
MCAR,0.5,0.0,0.1,1000,pattern,0.4990821606464876,0.1161875,197,0.0,150.21272667168074,0.098,0.5744899529637908,0.5717722372008199,0.5700162167090607,0.5627531642218077,0.5635095308636617,0.5839599064291311,0.0007563666418541138,0.6547208460185769,1,25,1000000000.0
MCAR,0.5,0.0,0.1,4000,pattern,0.5027305996624527,0.11921875,215,0.3665,161.16511830275894,0.102,0.4780000890162435,0.48484802048161524,0.4780067987969695,0.48495159862518933,0.49122011297860707,0.5115589476662039,0.006268514353417785,0.004741768038406972,11,25,1000000000.0
MCAR,0.5,1.5,0.9,1000,pattern,0.44199037024705773,0.1224375,12,0.943,2.973572115717008,0.114,0.7094776843300226,0.7072897166146004,0.7116437406480685,0.7108972232865541,0.7108820298920371,0.724012385097338,-1.5193394517001302e-05,0.0955807045456294,1,25,1000000000.0
MCAR,0.5,1.5,0.9,4000,pattern,0.4370174505187311,0.15184375,12,0.982,2.867321830264796,0.097,0.7974980680793707,0.853877223592125,0.7977937849819952,0.8536984160250622,0.854233768507947,0.8619610085183467,0.0005353524828847833,0.016458498374135027,5,25,1000000000.0
MCAR,0.5,1.5,0.5,1000,pattern,0.48231983865115335,0.1178125,57,0.702,14.345958887345661,0.109,0.5977269653400089,0.5839416960980601,0.5924470753798688,0.582122278172788,0.5816435050577078,0.6208286128175515,-0.0004787731150803709,0.6547208460185769,1,25,1000000000.0
