mechanism,het,info,concentration,n,outcome_from,rho,coef_spread,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MAR,0.0,0.0,0.9,1000,pattern,,1.0408340855860843e-16,0.1224375,12,0.943,2.973572115717008,0.097,0.7477301596104947,0.7409932466563489,0.7448115520542937,0.7345515346233052,0.7345515346233052,0.740466627167727,0.0,1.0,0,25,1000000000.0
MAR,0.0,0.0,0.9,4000,pattern,,1.0408340855860843e-16,0.15184375,12,0.982,2.867321830264796,0.09725,0.6771216132879723,0.6849192586131068,0.6772312960064455,0.6851916352489503,0.6851916352489503,0.6961941210349569,0.0,1.0,0,25,1000000000.0
MAR,0.0,0.0,0.5,1000,pattern,,7.697835424647081e-16,0.1178125,57,0.702,14.345958887345661,0.094,0.6941343991997933,0.6689194924078096,0.695123047504487,0.6644561209939437,0.6648733112273397,0.6869506262605154,0.00041719023339612524,0.5048449995952482,4,25,1000000000.0
MAR,0.0,0.0,0.5,4000,pattern,,3.3133218391157016e-16,0.11584375,60,0.8565,13.95740703241044,0.10775,0.7959776274935446,0.7909083454762162,0.7953170368277606,0.7917658428853946,0.7926001426097813,0.8002095859097463,0.0008342997243866668,0.10880943004054568,3,25,1000000000.0
MAR,0.0,0.0,0.1,1000,pattern,,3.301178774783864e-15,0.1161875,197,0.0,150.21272667168074,0.099,0.7187765394586165,0.6979126960794705,0.7180530170571865,0.6970123775648964,0.6970123775648966,0.7055662802778834,4.218847493575595e-17,1.0,8,25,1000000000.0
MAR,0.0,0.0,0.1,4000,pattern,,1.381327777855157e-15,0.11921875,215,0.3665,161.16511830275894,0.0985,0.6085952635968588,0.5936360895580781,0.6082872326954882,0.5936115760192312,0.5950999279799497,0.6170396752564192,0.0014883519607185435,0.28504940740261275,2,25,1000000000.0
MAR,0.0,1.5,0.9,1000,pattern,,1.0408340855860843e-16,0.1224375,12,0.943,2.973572115717008,0.102,0.7257337151900063,0.7409195878856676,0.7263349501103735,0.7382023971551276,0.7380898137275484,0.7425810976355923,-0.00011258342757905382,0.23250769389683978,6,25,1000000000.0
MAR,0.0,1.5,0.9,4000,pattern,,1.0408340855860843e-16,0.15184375,12,0.982,2.867321830264796,0.09925,0.6191226695803087,0.6838663302351132,0.6188063344574359,0.6822640511253881,0.6834608747427717,0.6985711772791053,0.0011968236173836022,0.07961580146011343,4,25,1000000000.0
MAR,0.0,1.5,0.5,1000,pattern,,7.697835424647081e-16,0.1178125,57,0.702,14.345958887345661,0.102,0.6672496773472492,0.6753684968103321,0.6707285096491198,0.674852726656529,0.6723231000640921,0.707736138988958,-0.0025296265924369577,0.5926536823123344,5,25,1000000000.0
MAR,0.0,1.5,0.5,4000,pattern,,3.3133218391157016e-16,0.11584375,60,0.8565,13.95740703241044,0.10725,0.7818734142257839,0.7861140982119508,0.7814190814296238,0.786630446519776,0.7851891736349935,0.7922464030369943,-0.0014412728847824185,0.16820413904818,2,25,1000000000.0
MAR,0.0,1.5,0.1,1000,pattern,,3.301178774783864e-15,0.1161875,197,0.0,150.21272667168074,0.098,0.6745455590154553,0.6659023967256501,0.6758795071317809,0.6619370257737621,0.6619615739307154,0.6725331803597305,2.4548156953225762e-05,0.31731050786291415,1,25,1000000000.0
MAR,0.0,1.5,0.1,4000,pattern,,1.381327777855157e-15,0.11921875,215,0.3665,161.16511830275894,0.10025,0.46956013645699635,0.4654346206964957,0.4693852490286221,0.46537589702027504,0.4689047158836155,0.4849150168908085,0.003528818863340444,0.027707849358079864,6,25,1000000000.0
MAR,0.5,0.0,0.9,1000,pattern,,0.45984597364394797,0.1224375,12,0.943,2.973572115717008,0.099,0.7385579676615371,0.7436029487205701,0.736382656807759,0.7355662307270733,0.7355662307270733,0.7444783701534642,-4.440892098500626e-18,1.0,3,25,1000000000.0
MAR,0.5,0.0,0.9,4000,pattern,,0.4587795695510887,0.15184375,12,0.982,2.867321830264796,0.09825,0.5792856918515041,0.6021700671052365,0.5792216597335991,0.6027446225250216,0.6545552771786614,0.6670601576785932,0.051810654653639834,5.960464477539063e-08,25,25,300.0
MAR,0.5,0.0,0.5,1000,pattern,,0.4852803804949939,0.1178125,57,0.702,14.345958887345661,0.097,0.5436173610680709,0.5325533245286266,0.5396523418146841,0.5363696073697531,0.5482284600546875,0.5917126229383483,0.011858852684934394,0.09948088075636449,9,25,1000000000.0
MAR,0.5,0.0,0.5,4000,pattern,,0.4882427141148721,0.11584375,60,0.8565,13.95740703241044,0.106,0.7003315348786608,0.73389894557854,0.700103337937607,0.7345683763635354,0.7762630690172362,0.7870931490252268,0.04169469265370092,1.1920928955078125e-07,24,25,300.0
MAR,0.5,0.0,0.1,1000,pattern,,0.5034441404336315,0.1161875,197,0.0,150.21272667168074,0.096,0.6441768002399718,0.6273534500770265,0.6444684495701983,0.6330975760454526,0.6313913761905896,0.6467513900910725,-0.0017061998548630042,0.07961580146011343,1,25,1000000000.0
MAR,0.5,0.0,0.1,4000,pattern,,0.4899116848170214,0.11921875,215,0.3665,161.16511830275894,0.10025,0.42960417369964,0.42383622406054866,0.4293556127435922,0.4236071989931867,0.43002961044889226,0.44955239455947144,0.006422411455705541,0.0033456181158508813,11,25,1000000000.0
